Name,reading,time
HBR.VEY657202_02.PZ.X,43.98938,3:48:13 AM
HBR.VEY657202_02.PZ.X,43.11655,3:48:17 AM
HBR.VEY657202_02.PZ.X,43.5987434,3:48:23 AM
HBR.VEY657202_02.PZ.X,42.6831856,3:48:33 AM
HBR.VEY657202_02.PZ.X,43.94055,3:48:40 AM
HBR.VEY657202_02.PZ.X,44.42274,3:48:43 AM
HBR.VEY657202_02.PZ.X,44.71572,3:48:47 AM
HBR.VEY657202_02.PZ.X,45.39323,3:48:53 AM
HBR.VEY657202_02.PZ.X,46.36372,3:48:57 AM
HBR.VEY657202_02.PZ.X,46.11957,3:49:03 AM
HBR.VEY657202_02.PZ.X,45.92425,3:49:07 AM
HBR.VEY657202_02.PZ.X,45.4420624,3:49:13 AM
HBR.VEY657202_02.PZ.X,44.86221,3:49:17 AM
HBR.VEY657202_02.PZ.X,44.4715729,3:49:23 AM
HBR.VEY657202_02.PZ.X,45.1979141,3:49:27 AM
HBR.VEY657202_02.PZ.X,45.1490822,3:49:33 AM
HBR.VEY657202_02.PZ.X,43.5987434,3:49:37 AM
HBR.VEY657202_02.PZ.X,44.5692329,3:49:43 AM
HBR.VEY657202_02.PZ.X,45.73504,3:49:47 AM
HBR.VEY657202_02.PZ.X,45.92425,3:49:53 AM
HBR.VEY657202_02.PZ.X,47.09006,3:50:03 AM
HBR.VEY657202_02.PZ.X,45.49089,3:50:07 AM
HBR.VEY657202_02.PZ.X,45.9730835,3:50:13 AM
HBR.VEY657202_02.PZ.X,46.0707436,3:50:17 AM
HBR.VEY657202_02.PZ.X,46.36372,3:50:23 AM
HBR.VEY657202_02.PZ.X,46.51021,3:50:27 AM
HBR.VEY657202_02.PZ.X,45.9730835,3:50:33 AM
HBR.VEY657202_02.PZ.X,45.6862068,3:50:37 AM
HBR.VEY657202_02.PZ.X,46.36372,3:50:43 AM
HBR.VEY657202_02.PZ.X,46.9924,3:50:47 AM
HBR.VEY657202_02.PZ.X,46.8459129,3:50:53 AM
HBR.VEY657202_02.PZ.X,46.4125481,3:50:57 AM
HBR.VEY657202_02.PZ.X,46.9924,3:51:03 AM
HBR.VEY657202_02.PZ.X,46.8459129,3:51:07 AM
HBR.VEY657202_02.PZ.X,46.31489,3:51:13 AM
HBR.VEY657202_02.PZ.X,46.60787,3:51:23 AM
HBR.VEY657202_02.PZ.X,46.02191,3:51:27 AM
HBR.VEY657202_02.PZ.X,47.04123,3:51:33 AM
HBR.VEY657202_02.PZ.X,47.5234222,3:51:37 AM
HBR.VEY657202_02.PZ.X,46.6566963,3:51:43 AM
HBR.VEY657202_02.PZ.X,46.79708,3:51:47 AM
HBR.VEY657202_02.PZ.X,46.6566963,3:51:53 AM
HBR.VEY657202_02.PZ.X,47.09006,3:52:03 AM
HBR.VEY657202_02.PZ.X,46.51021,3:52:07 AM
HBR.VEY657202_02.PZ.X,47.04123,3:52:13 AM
HBR.VEY657202_02.PZ.X,47.23655,3:52:17 AM
HBR.VEY657202_02.PZ.X,47.76757,3:52:23 AM
HBR.VEY657202_02.PZ.X,48.20704,3:52:27 AM
HBR.VEY657202_02.PZ.X,47.7187424,3:52:33 AM
HBR.VEY657202_02.PZ.X,47.33421,3:52:37 AM
HBR.VEY657202_02.PZ.X,48.10938,3:52:43 AM
HBR.VEY657202_02.PZ.X,48.49391,3:52:47 AM
HBR.VEY657202_02.PZ.X,47.66991,3:52:53 AM
HBR.VEY657202_02.PZ.X,48.3474236,3:52:57 AM
HBR.VEY657202_02.PZ.X,49.41557,3:53:03 AM
HBR.VEY657202_02.PZ.X,52.08289,3:53:13 AM
HBR.VEY657202_02.PZ.X,52.1744423,3:53:17 AM
HBR.VEY657202_02.PZ.X,51.35655,3:53:23 AM
HBR.VEY657202_02.PZ.X,50.532547,3:53:27 AM
HBR.VEY657202_02.PZ.X,50.1907425,3:53:33 AM
HBR.VEY657202_02.PZ.X,51.594593,3:53:43 AM
HBR.VEY657202_02.PZ.X,51.496933,3:53:47 AM
HBR.VEY657202_02.PZ.X,53.38908,3:53:53 AM
HBR.VEY657202_02.PZ.X,52.0340576,3:53:57 AM
HBR.VEY657202_02.PZ.X,51.78991,3:54:03 AM
HBR.VEY657202_02.PZ.X,53.29142,3:54:07 AM
HBR.VEY657202_02.PZ.X,56.050293,3:54:13 AM
HBR.VEY657202_02.PZ.X,54.0665932,3:54:17 AM
HBR.VEY657202_02.PZ.X,53.9201,3:54:23 AM
HBR.VEY657202_02.PZ.X,54.21308,3:54:33 AM
HBR.VEY657202_02.PZ.X,53.5844,3:54:37 AM
HBR.VEY657202_02.PZ.X,54.16425,3:54:43 AM
HBR.VEY657202_02.PZ.X,54.3107376,3:54:47 AM
HBR.VEY657202_02.PZ.X,53.871273,3:54:53 AM
HBR.VEY657202_02.PZ.X,56.00757,3:55:03 AM
HBR.VEY657202_02.PZ.X,54.89059,3:55:07 AM
HBR.VEY657202_02.PZ.X,55.95874,3:55:13 AM
HBR.VEY657202_02.PZ.X,55.6169319,3:55:17 AM
HBR.VEY657202_02.PZ.X,55.08591,3:55:23 AM
HBR.VEY657202_02.PZ.X,54.7441025,3:55:33 AM
HBR.VEY657202_02.PZ.X,54.9394226,3:55:37 AM
HBR.VEY657202_02.PZ.X,55.13474,3:55:43 AM
HBR.VEY657202_02.PZ.X,55.2751236,3:55:47 AM
HBR.VEY657202_02.PZ.X,54.21308,3:55:57 AM
HBR.VEY657202_02.PZ.X,53.9201,3:56:03 AM
HBR.VEY657202_02.PZ.X,53.29142,3:56:07 AM
HBR.VEY657202_02.PZ.X,52.9496155,3:56:13 AM
HBR.VEY657202_02.PZ.X,53.63323,3:56:17 AM
HBR.VEY657202_02.PZ.X,53.3402519,3:56:23 AM
HBR.VEY657202_02.PZ.X,54.16425,3:56:33 AM
HBR.VEY657202_02.PZ.X,54.5976143,3:56:37 AM
HBR.VEY657202_02.PZ.X,54.11542,3:56:43 AM
HBR.VEY657202_02.PZ.X,54.35957,3:56:47 AM
HBR.VEY657202_02.PZ.X,53.3402519,3:56:53 AM
HBR.VEY657202_02.PZ.X,54.89059,3:56:57 AM
HBR.VEY657202_02.PZ.X,53.53557,3:57:03 AM
HBR.VEY657202_02.PZ.X,51.74108,3:57:07 AM
HBR.VEY657202_02.PZ.X,52.4674225,3:57:13 AM
HBR.VEY657202_02.PZ.X,52.5650826,3:57:17 AM
HBR.VEY657202_02.PZ.X,53.04727,3:57:23 AM
HBR.VEY657202_02.PZ.X,52.3697624,3:57:33 AM
HBR.VEY657202_02.PZ.X,53.63323,3:57:37 AM
HBR.VEY657202_02.PZ.X,51.98523,3:57:43 AM
HBR.VEY657202_02.PZ.X,52.1744423,3:57:47 AM
HBR.VEY657202_02.PZ.X,52.51625,3:57:53 AM
HBR.VEY657202_02.PZ.X,51.16123,3:57:57 AM
HBR.VEY657202_02.PZ.X,51.54576,3:58:03 AM
HBR.VEY657202_02.PZ.X,51.594593,3:58:07 AM
HBR.VEY657202_02.PZ.X,52.1744423,3:58:13 AM
HBR.VEY657202_02.PZ.X,52.5650826,3:58:17 AM
